año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|12 - Barrios Unidos|70 a 74|5213|113|0.02167657778630347209
2023|13 - Teusaquillo|70 a 74|6146|32|0.00520663846404165311
2023|14 - Los Mártires|70 a 74|2019|216|0.10698365527488855869
2023|15 - Antonio Nariño|70 a 74|2545|420|0.16502946954813359528
2023|16 - Puente Aranda|70 a 74|7920|395|0.04987373737373737374
2023|17 - La Candelaria|70 a 74|525|148|0.28190476190476190476
2023|18 - Rafael Uribe Uribe|70 a 74|10181|2998|0.29447009134662606817
2023|19 - Ciudad Bolívar|70 a 74|13527|1449|0.10711909514304723886
2023|1 - Usaquén|70 a 74|21766|749|0.03441146742626114123
2023|20 - Sumapaz|70 a 74|90|77|0.85555555555555555556
2023|2 - Chapinero|70 a 74|5404|50|0.00925240562546262028
2023|3 - Santa Fe|70 a 74|2594|1216|0.46877409406322282190
2023|4 - San Cristóbal|70 a 74|9812|2230|0.22727272727272727273
2023|5 - Usme|70 a 74|8488|4604|0.54241281809613572102
2023|6 - Tunjuelito|70 a 74|4616|1855|0.40186308492201039861
2023|7 - Bosa|70 a 74|14075|4911|0.34891651865008880995
2023|8 - Kennedy|70 a 74|26761|4375|0.16348417473188595344
2023|9 - Fontibón|70 a 74|11337|336|0.02963747023021963482
2023|10 - Engativá|75 a 79|17006|1359|0.07991297189227331530
2023|11 - Suba|75 a 79|24847|3656|0.14714049985913792410
2023|12 - Barrios Unidos|75 a 79|3494|63|0.01803091013165426445
2023|13 - Teusaquillo|75 a 79|4113|19|0.00461949914903963044
2023|14 - Los Mártires|75 a 79|1318|140|0.10622154779969650986
2023|15 - Antonio Nariño|75 a 79|1698|312|0.18374558303886925795
2023|16 - Puente Aranda|75 a 79|5720|341|0.05961538461538461538
2023|17 - La Candelaria|75 a 79|374|111|0.29679144385026737968
2023|18 - Rafael Uribe Uribe|75 a 79|6558|2182|0.33272339127782860628
2023|19 - Ciudad Bolívar|75 a 79|8379|1017|0.12137486573576799141
2023|1 - Usaquén|75 a 79|15368|579|0.03767568974492451848
2023|20 - Sumapaz|75 a 79|80|48|0.60000000000000000000
2023|2 - Chapinero|75 a 79|3859|37|0.00958797615962684633
2023|3 - Santa Fe|75 a 79|1693|829|0.48966331955109273479
2023|4 - San Cristóbal|75 a 79|6716|1604|0.23883263847528290649
2023|5 - Usme|75 a 79|5158|3106|0.60217138425746413339
2023|6 - Tunjuelito|75 a 79|3036|1324|0.43610013175230566535
2023|7 - Bosa|75 a 79|8805|3271|0.37149346961953435548
2023|8 - Kennedy|75 a 79|17535|3173|0.18095238095238095238
2023|9 - Fontibón|75 a 79|7551|242|0.03204873526685207257
2023|10 - Engativá|80 a 84|10897|908|0.08332568596861521520
2023|11 - Suba|80 a 84|14740|2310|0.15671641791044776119
2023|12 - Barrios Unidos|80 a 84|2350|64|0.02723404255319148936
2023|13 - Teusaquillo|80 a 84|2684|21|0.00782414307004470939
2023|14 - Los Mártires|80 a 84|727|84|0.11554332874828060523
2023|15 - Antonio Nariño|80 a 84|1065|223|0.20938967136150234742
2023|16 - Puente Aranda|80 a 84|3955|264|0.06675094816687737042
2023|17 - La Candelaria|80 a 84|233|66|0.28326180257510729614
2023|18 - Rafael Uribe Uribe|80 a 84|3957|1497|0.37831690674753601213
2023|19 - Ciudad Bolívar|80 a 84|4754|671|0.14114429953723180480
2023|1 - Usaquén|80 a 84|9506|370|0.03892278560908899642
2023|20 - Sumapaz|80 a 84|57|48|0.84210526315789473684
2023|2 - Chapinero|80 a 84|2242|27|0.01204281891168599465
2023|3 - Santa Fe|80 a 84|984|620|0.63008130081300813008
2023|4 - San Cristóbal|80 a 84|4006|1161|0.28981527708437343984
2023|5 - Usme|80 a 84|2859|1931|0.67541098286114025883
2023|6 - Tunjuelito|80 a 84|1893|923|0.48758584257791864765
2023|7 - Bosa|80 a 84|4806|2130|0.44319600499375780275
2023|8 - Kennedy|80 a 84|9954|1929|0.19379144062688366486
2023|9 - Fontibón|80 a 84|4705|190|0.04038257173219978746
2023|10 - Engativá|85 a 89|6349|529|0.08332020790675696960
2023|11 - Suba|85 a 89|8047|1306|0.16229650801540946937
2023|12 - Barrios Unidos|85 a 89|1360|33|0.02426470588235294118
2023|13 - Teusaquillo|85 a 89|1609|12|0.00745804847731510255
2023|14 - Los Mártires|85 a 89|408|43|0.10539215686274509804
2023|15 - Antonio Nariño|85 a 89|583|158|0.27101200686106346484
2023|16 - Puente Aranda|85 a 89|2466|139|0.05636658556366585564
2023|17 - La Candelaria|85 a 89|164|48|0.29268292682926829268
2023|18 - Rafael Uribe Uribe|85 a 89|2125|787|0.37035294117647058824
2023|19 - Ciudad Bolívar|85 a 89|2197|273|0.12426035502958579882
2023|1 - Usaquén|85 a 89|5386|220|0.04084663943557370962
2023|20 - Sumapaz|85 a 89|30|13|0.43333333333333333333
2023|2 - Chapinero|85 a 89|1355|13|0.00959409594095940959
2023|3 - Santa Fe|85 a 89|549|412|0.75045537340619307832
2023|4 - San Cristóbal|85 a 89|1988|614|0.30885311871227364185
2023|5 - Usme|85 a 89|1243|1059|0.85197103781174577635
2023|6 - Tunjuelito|85 a 89|1125|567|0.50400000000000000000
2023|7 - Bosa|85 a 89|2250|1263|0.56133333333333333333
2023|8 - Kennedy|85 a 89|5411|1147|0.21197560524856773240
2023|9 - Fontibón|85 a 89|2433|150|0.06165228113440197287
2023|10 - Engativá|90 a 94|2912|215|0.07383241758241758242
2023|11 - Suba|90 a 94|4108|620|0.15092502434274586173
2023|12 - Barrios Unidos|90 a 94|724|23|0.03176795580110497238
2023|13 - Teusaquillo|90 a 94|839|10|0.01191895113230035757
2023|14 - Los Mártires|90 a 94|192|17|0.08854166666666666667
2023|15 - Antonio Nariño|90 a 94|275|72|0.26181818181818181818
2023|16 - Puente Aranda|90 a 94|1207|80|0.06628003314001657001
2023|17 - La Candelaria|90 a 94|95|30|0.31578947368421052632
2023|18 - Rafael Uribe Uribe|90 a 94|994|326|0.32796780684104627767
2023|19 - Ciudad Bolívar|90 a 94|945|114|0.12063492063492063492
2023|1 - Usaquén|90 a 94|2908|107|0.03679504814305364512
2023|20 - Sumapaz|90 a 94|16|15|0.93750000000000000000
2023|2 - Chapinero|90 a 94|878|4|0.00455580865603644647
2023|3 - Santa Fe|90 a 94|272|149|0.54779411764705882353
2023|4 - San Cristóbal|90 a 94|839|242|0.28843861740166865316
2023|5 - Usme|90 a 94|470|374|0.79574468085106382979
2023|6 - Tunjuelito|90 a 94|576|308|0.53472222222222222222
2023|7 - Bosa|90 a 94|920|515|0.55978260869565217391
2023|8 - Kennedy|90 a 94|2653|518|0.19525065963060686016
2023|9 - Fontibón|90 a 94|1079|38|0.03521779425393883225
2023|10 - Engativá|95 a 99|1087|59|0.05427782888684452622
2023|11 - Suba|95 a 99|1867|167|0.08944831280128548473
2023|12 - Barrios Unidos|95 a 99|304|8|0.02631578947368421053
2023|13 - Teusaquillo|95 a 99|416|6|0.01442307692307692308
2023|14 - Los Mártires|95 a 99|60|4|0.06666666666666666667
