año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|14 - Los Mártires|80 a 84|727|84|0.11554332874828060523
2023|15 - Antonio Nariño|80 a 84|1065|223|0.20938967136150234742
2023|16 - Puente Aranda|80 a 84|3955|264|0.06675094816687737042
2023|17 - La Candelaria|80 a 84|233|66|0.28326180257510729614
2023|18 - Rafael Uribe Uribe|80 a 84|3957|1498|0.37856962345211018448
2023|19 - Ciudad Bolívar|80 a 84|4754|671|0.14114429953723180480
2023|1 - Usaquén|80 a 84|9506|368|0.03871239217336419104
2023|20 - Sumapaz|80 a 84|57|48|0.84210526315789473684
2023|2 - Chapinero|80 a 84|2242|27|0.01204281891168599465
2023|3 - Santa Fe|80 a 84|984|620|0.63008130081300813008
2023|4 - San Cristóbal|80 a 84|4006|1162|0.29006490264603095357
2023|5 - Usme|80 a 84|2859|1934|0.67646030080447708989
2023|6 - Tunjuelito|80 a 84|1893|921|0.48652931854199683043
2023|7 - Bosa|80 a 84|4806|2141|0.44548481065334997919
2023|8 - Kennedy|80 a 84|9954|1931|0.19399236487844082781
2023|9 - Fontibón|80 a 84|4705|190|0.04038257173219978746
2023|10 - Engativá|85 a 89|6349|531|0.08363521814458969917
2023|11 - Suba|85 a 89|8047|1304|0.16204796818690195104
2023|12 - Barrios Unidos|85 a 89|1360|33|0.02426470588235294118
2023|13 - Teusaquillo|85 a 89|1609|12|0.00745804847731510255
2023|14 - Los Mártires|85 a 89|408|42|0.10294117647058823529
2023|15 - Antonio Nariño|85 a 89|583|158|0.27101200686106346484
2023|16 - Puente Aranda|85 a 89|2466|139|0.05636658556366585564
2023|17 - La Candelaria|85 a 89|164|48|0.29268292682926829268
2023|18 - Rafael Uribe Uribe|85 a 89|2125|789|0.37129411764705882353
2023|19 - Ciudad Bolívar|85 a 89|2197|274|0.12471552116522530724
2023|1 - Usaquén|85 a 89|5386|222|0.04121797252135165243
2023|20 - Sumapaz|85 a 89|30|13|0.43333333333333333333
2023|2 - Chapinero|85 a 89|1355|13|0.00959409594095940959
2023|3 - Santa Fe|85 a 89|549|412|0.75045537340619307832
2023|4 - San Cristóbal|85 a 89|1988|615|0.30935613682092555332
2023|5 - Usme|85 a 89|1243|1056|0.84955752212389380531
2023|6 - Tunjuelito|85 a 89|1125|569|0.50577777777777777778
2023|7 - Bosa|85 a 89|2250|1263|0.56133333333333333333
2023|8 - Kennedy|85 a 89|5411|1146|0.21179079652559600813
2023|9 - Fontibón|85 a 89|2433|150|0.06165228113440197287
2023|10 - Engativá|90 a 94|2912|216|0.07417582417582417582
2023|11 - Suba|90 a 94|4108|622|0.15141187925998052580
2023|12 - Barrios Unidos|90 a 94|724|23|0.03176795580110497238
2023|13 - Teusaquillo|90 a 94|839|10|0.01191895113230035757
2023|14 - Los Mártires|90 a 94|192|18|0.09375000000000000000
2023|15 - Antonio Nariño|90 a 94|275|72|0.26181818181818181818
2023|16 - Puente Aranda|90 a 94|1207|80|0.06628003314001657001
2023|17 - La Candelaria|90 a 94|95|30|0.31578947368421052632
2023|18 - Rafael Uribe Uribe|90 a 94|994|325|0.32696177062374245473
2023|19 - Ciudad Bolívar|90 a 94|945|113|0.11957671957671957672
2023|1 - Usaquén|90 a 94|2908|107|0.03679504814305364512
2023|20 - Sumapaz|90 a 94|16|15|0.93750000000000000000
2023|2 - Chapinero|90 a 94|878|4|0.00455580865603644647
2023|3 - Santa Fe|90 a 94|272|149|0.54779411764705882353
2023|4 - San Cristóbal|90 a 94|839|242|0.28843861740166865316
2023|5 - Usme|90 a 94|470|377|0.80212765957446808511
2023|6 - Tunjuelito|90 a 94|576|308|0.53472222222222222222
2023|7 - Bosa|90 a 94|920|515|0.55978260869565217391
2023|8 - Kennedy|90 a 94|2653|519|0.19562759140595552205
2023|9 - Fontibón|90 a 94|1079|38|0.03521779425393883225
2023|10 - Engativá|95 a 99|1087|59|0.05427782888684452622
2023|11 - Suba|95 a 99|1867|167|0.08944831280128548473
2023|12 - Barrios Unidos|95 a 99|304|8|0.02631578947368421053
2023|13 - Teusaquillo|95 a 99|416|6|0.01442307692307692308
2023|14 - Los Mártires|95 a 99|60|4|0.06666666666666666667
